FID,SAMPLEID,SOILTYPE,DEPTH_m,X_EUREF,Y_EUREF,MULTIBLE_TILL,PROFILE,PROFILE_END,SUBTILL_SORTED
20516,47172,moreeni,2,501107.0737,7480753.329,No,Profile,No,No
20517,47173,moreeni,1.8,501207.0325,7480693.352,No,Profile,No,No
20518,47174,moreeni,2,501306.9918,7480673.36,No,Profile,No,No
20519,47175,moreeni,1,501396.9545,7480603.388,No,Profile,No,No
20520,47175,moreeni,2,501396.9545,7480603.388,No,Profile,No,No
20521,47175,moreeni,3,501396.9545,7480603.388,No,Profile,No,No
20522,47175,moreeni,4,501396.9545,7480603.388,No,Profile,No,No
20523,47175,moreeni,4.5,501396.9545,7480603.388,No,Profile,No,No
20524,47176,moreeni,1.3,501426.9412,7480523.42,No,Profile,No,No
20525,47177,moreeni,1,501426.9399,7480433.456,No,Profile,No,No
20526,47177,moreeni,2,501426.9399,7480433.456,No,Profile,No,No
20527,47177,rapakallio,3,501426.9399,7480433.456,No,Profile,No,No
20528,47177,rapakallio,3,501426.9399,7480433.456,No,Profile,No,No
20529,47177,rapakallio,3.2,501426.9399,7480433.456,No,Profile,No,No
20530,47177,rapakallio,3.2,501426.9399,7480433.456,No,Profile,No,No
20531,48094,moreeni,1.6,503925.9385,7480943.246,No,Profile,No,No
20532,48095,moreeni,2,503945.9289,7480833.29,No,Profile,No,No
20533,48096,moreeni,3,503945.9274,7480733.33,No,Profile,No,No
20534,48097,hiekka,3,503955.9218,7480623.374,No,Profile,No,No
20535,48098,moreeni,2,503965.9165,7480533.41,No,Profile,No,No
20536,48099,moreeni,2,503975.911,7480433.45,No,Profile,No,No
20537,48100,moreeni,2,503985.9055,7480333.489,No,Profile,No,No
20538,48101,moreeni,2,503985.9041,7480233.529,No,Profile,No,No
20539,48102,moreeni,2,503995.8987,7480143.565,No,Profile,No,No
20540,48103,moreeni,2,503995.8973,7480043.605,No,Profile,No,No
20541,48104,moreeni,1.6,504005.8917,7479933.649,No,Profile,No,No
