FID,SAMPLEID,SOILTYPE,DEPTH_m,X,Y
24263,19406,0,2,507254.7818,7512500.696
24264,19407,0,2,507194.8063,7512580.665
24265,19408,0,2,507134.8308,7512660.634
24266,19409,0,2,507084.8512,7512740.603
24267,19410,1,2,507024.8757,7512820.572
24268,19411,0,3,506964.9004,7512930.529
24269,19412,0,4,506904.925,7513030.489
24270,19413,0,4,506844.9496,7513140.446
24271,19414,0,4,506784.9742,7513240.407
24272,19415,0,5,506724.9988,7513340.368
24273,19416,0,4,506665.0234,7513440.329
24274,19417,0,4,506615.044,7513530.294
24275,19418,0,4,506565.0645,7513620.259
24276,19419,0,5,506515.085,7513700.227
24277,19420,0,3,506465.1056,7513800.188
24278,19421,0,3,506425.122,7513880.157
24279,19422,0,4,506375.1426,7513970.122
24280,19423,0,3.5,506325.1631,7514060.087
24281,19424,0,4,506275.1836,7514150.051
24282,19425,0,4.4,506215.2082,7514240.016
24283,19426,0,3,506155.2329,7514359.969
24284,19427,0,2,506105.2535,7514459.93
24285,19428,0,2,506035.2821,7514559.891
24286,19429,0,2,505955.3147,7514659.852
24287,19430,0,2,505905.3355,7514799.797
24288,19431,0,2,505845.3601,7514909.754
24289,19432,0,2,505765.3928,7515009.715
24290,19433,0,3,505715.4134,7515119.672
24291,19434,0,3,505655.438,7515219.633
24292,19435,0,3,505605.4586,7515329.59
24293,19436,0,2,505545.4832,7515419.555
24294,19437,0,3,505495.5038,7515519.516
24295,19438,0,3,505445.5243,7515599.484
24296,19439,0,2,505405.5407,7515679.453
24297,19440,0,2,505345.5653,7515769.418
24298,19441,0,2,505295.5858,7515859.383
24299,20163,0,1,509603.834,7511790.963
24300,20163,0,1.5,509603.834,7511790.963
24301,20164,0,2,509523.8666,7511880.928
24302,20165,0,2,509463.8911,7511960.897
24303,20166,0,1.6,509393.9196,7512040.866
24304,20167,0,1,509323.9481,7512120.835
24305,20167,0,2,509323.9481,7512120.835
24306,20167,0,3,509323.9481,7512120.835
24307,20167,0,4,509323.9481,7512120.835
24308,20167,0,5,509323.9481,7512120.835
24309,20167,0,6,509323.9481,7512120.835
24310,20167,0,6.7,509323.9481,7512120.835
24311,20168,0,2,509263.9726,7512200.803
24312,20169,0,1.5,509203.9971,7512280.772
24313,20170,0,2,509134.0256,7512350.745
24314,20171,0,1,509064.0541,7512440.71
24315,20171,0,2,509064.0541,7512440.71
24316,20171,0,3,509064.0541,7512440.71
24317,20171,0,4,509064.0541,7512440.71
24318,20171,0,5,509064.0541,7512440.71
24319,20171,0,5.3,509064.0541,7512440.71
24320,20172,0,2,509004.0786,7512510.683
24321,20173,0,2,508934.1071,7512580.655
24322,20174,0,2,508864.1356,7512670.62
24323,20175,0,1,508804.1601,7512740.593
24324,20175,0,2,508804.1601,7512740.593
24325,20175,0,3,508804.1601,7512740.593
24326,20175,0,4,508804.1601,7512740.593
24327,20175,0,5,508804.1601,7512740.593
24328,20175,0,5.6,508804.1601,7512740.593
24329,20176,0,2,508744.1845,7512810.566
24330,20177,0,2,508664.2172,7512920.523
24331,20178,0,2,508584.2498,7513000.492
24332,20179,0,1,508524.2743,7513080.461
24333,20179,0,2,508524.2743,7513080.461
24334,20179,0,3,508524.2743,7513080.461
24335,20179,0,4,508524.2743,7513080.461
24336,20179,0,5,508524.2743,7513080.461
24337,20179,0,6,508524.2743,7513080.461
24338,20179,0,6.5,508524.2743,7513080.461
24339,20180,0,2,508494.2867,7513160.429
24340,20181,0,2,508464.2993,7513270.386
24341,20182,0,2,508424.3158,7513360.351
24342,20183,0,1.2,508404.3243,7513440.319
24343,20183,0,2,508404.3243,7513440.319
24344,20183,0,3,508404.3243,7513440.319
24345,20183,0,4,508404.3243,7513440.319
24346,20183,0,5,508404.3243,7513440.319
24347,20183,0,6,508404.3243,7513440.319
24348,20183,0,6.8,508404.3243,7513440.319
24349,20184,0,2,508374.3369,7513550.276
24350,20185,0,2,508334.3536,7513680.225
24351,20186,0,1.4,508294.3702,7513790.182
24352,20187,0,1,508264.3828,7513900.139
24353,20187,0,2,508264.3828,7513900.139
24354,20187,0,2.9,508264.3828,7513900.139
24355,20188,0,1.6,508224.3993,7514000.1
24356,20189,0,2,508184.416,7514120.053
24357,20190,0,2,508154.4286,7514230.009
24358,20191,0,1,508124.4411,7514319.974
24359,20191,0,2,508124.4411,7514319.974
24360,20191,0,3,508124.4411,7514319.974
24361,20191,0,4,508124.4411,7514319.974
24362,20191,0,4.7,508124.4411,7514319.974
24363,22361,0,2,508084.4576,7514419.935
24364,22362,0,2,508064.4661,7514509.899
24365,22363,0,2,508004.4907,7514599.864
24366,22364,0,1,507974.5032,7514699.825
24367,22364,0,3,507974.5032,7514699.825
24368,22364,0,4,507974.5032,7514699.825
24369,22364,0,5,507974.5032,7514699.825
24370,22364,0,5.6,507974.5032,7514699.825
24371,22365,0,2,507934.5198,7514799.786
24372,22365,0,2,507934.5198,7514799.786
24373,22366,0,1.4,507904.5323,7514899.747
24374,22367,0,2,507864.5489,7514999.707
24375,22368,0,1,507824.5655,7515099.668
24376,22368,0,2,507824.5655,7515099.668
24377,22369,0,1.3,507784.582,7515199.629
24378,22370,0,2,507754.5945,7515289.594
24379,22371,0,2,507714.6111,7515389.554
24380,22372,0,1,507684.6235,7515469.523
24381,22372,0,1.5,507684.6235,7515469.523
24382,22373,0,2,507654.636,7515559.488
24383,22374,0,3,507604.6566,7515659.449
24384,22375,0,4,507564.6731,7515749.413
24385,22376,1,3,507524.6897,7515849.374
24386,22376,0,5,507524.6897,7515849.374
24387,22376,0,6,507524.6897,7515849.374
24388,22376,0,7,507524.6897,7515849.374
24389,22376,0,7.6,507524.6897,7515849.374
24390,22377,0,4.7,507474.7103,7515959.331
24391,22378,0,5,507434.7268,7516039.3
24392,22379,1,4.8,507384.7474,7516139.261
24393,22380,0,5,507344.7639,7516229.225
24394,22380,0,5.7,507344.7639,7516229.225
